Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1951,738,299,700,283,30.85,1591,18400,385,Maha,0.9464882943143812,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,3337.5,53.83064299178711,0
1952,655,265,586,237,26.44,1363,13200,276,Maha,0.8943396226415095,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1591.0,64.50506032282912,0
1952,424,172,402,163,30.7,1583,10500,219,Yala,0.9476744186046512,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,3337.5,53.83064299178711,0
1953,770,312,743,301,30.07,1550,19300,403,Maha,0.9647435897435898,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1363.0,64.50506032282912,0
1953,394,160,366,148,27.9,1439,8700,182,Yala,0.925,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1583.0,43.15622566074509,0
1954,825,334,793,321,32.15,1658,21700,454,Maha,0.9610778443113772,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1550.0,64.50506032282912,0
1954,483,196,458,185,29.95,1544,11800,247,Yala,0.9438775510204082,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1439.0,43.15622566074509,0
1955,823,333,724,293,30.85,1591,19400,405,Maha,0.8798798798798799,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1658.0,64.50506032282912,0
1955,522,211,492,199,32.93,1698,14000,293,Yala,0.943127962085308,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1544.0,43.15622566074509,0
1956,780,316,728,295,32.69,1685,20200,422,Maha,0.9335443037974684,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1591.0,64.50506032282912,0
1956,354,143,328,133,28.23,1456,8100,169,Yala,0.93006993006993,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1698.0,43.15622566074509,0
1957,841,340,716,290,34.06,1756,21200,443,Maha,0.8529411764705882,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1685.0,64.50506032282912,0
1957,428,173,411,166,31.76,1638,11080,232,Yala,0.9595375722543352,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1456.0,43.15622566074509,0
1958,848,343,759,307,34.04,1755,21900,458,Maha,0.8950437317784257,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1756.0,64.50506032282912,0
1958,542,219,523,212,34.87,1798,15400,322,Yala,0.9680365296803652,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1638.0,43.15622566074509,0
1959,921,373,857,347,36.1,1861,26300,550,Maha,0.9302949061662198,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,16739284.0,0.0120368081788175,7.54291373239437,1,1755.0,64.50506032282912,0
1959,482,195,469,190,36.33,1873,14500,303,Yala,0.9743589743589745,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,16739284.0,0.0120368081788175,7.54291373239437,1,1798.0,43.15622566074509,0
