year,season,commodity,avg_price_lkr,avg_price_usd
2004,Maha,Rice (red nadu),46.12357142857143,0.4414285714285714
2004,Yala,Rice (red nadu),34.106,0.34
2005,Maha,Rice (red nadu),33.755,0.33666666666666667
2005,Yala,Rice (red nadu),31.013333333333332,0.30666666666666664
2006,Maha,Rice (red nadu),39.579166666666666,0.3758333333333333
2006,Maha,Rice (white),32.00666666666667,0.3
2006,Yala,Rice (red nadu),30.90848484848485,0.29848484848484846
2006,Yala,Rice (white),30.25,0.29
2007,Maha,Rice (red nadu),46.77146341463415,0.4226829268292682
2007,Maha,Rice (white),44.165,0.405
2007,Yala,Rice (red nadu),41.26870967741935,0.3722580645161291
2007,Yala,Rice (white),35.68333333333333,0.32
2008,Maha,Rice (red nadu),62.8125,0.583125
2008,Maha,Rice (white),60.845,0.56
2008,Yala,Rice (red nadu),64.625,0.5990624999999999
2008,Yala,Rice (white),63.54333333333333,0.59
2009,Maha,Rice (long grain),61.235,0.5375000000000001
2009,Maha,Rice (red nadu),81.4440909090909,0.7136363636363636
2009,Maha,Rice (white),62.254,0.544
2009,Yala,Rice (long grain),60.269999999999996,0.515
2009,Yala,Rice (red nadu),81.77047619047619,0.7104761904761905
2009,Yala,Rice (white),60.2025,0.52
2010,Maha,Rice (long grain),60.78857142857142,0.5371428571428571
2010,Maha,Rice (red nadu),66.02451612903226,0.5861290322580646
2010,Maha,Rice (white),56.438,0.504
2010,Yala,Rice (long grain),60.370000000000005,0.53
2010,Yala,Rice (red nadu),61.45375000000001,0.5433333333333333
2010,Yala,Rice (white),50.197500000000005,0.445
2011,Maha,Rice (long grain),60.925000000000004,0.5483333333333333
2011,Maha,Rice (red nadu),61.900000000000006,0.5586486486486487
2011,Maha,Rice (white),55.1225,0.495
2011,Yala,Rice (long grain),60.2525,0.55
2011,Yala,Rice (red nadu),61.19559999999999,0.558
2011,Yala,Rice (white),57.02,0.52
2012,Maha,Rice (long grain),61.56666666666666,0.4766666666666666
2012,Maha,Rice (red nadu),62.80882352941177,0.5235294117647059
2012,Maha,Rice (white),58.446000000000005,0.45199999999999996
2012,Yala,Rice (long grain),60.26,0.45999999999999996
2012,Yala,Rice (red nadu),60.194782608695654,0.46217391304347827
2012,Yala,Rice (white),55.03,0.42
2013,Maha,Rice (long grain),60.01333333333333,0.465
2013,Maha,Rice (red nadu),62.0,0.49
2013,Maha,Rice (white),60.18,0.46499999999999997
2013,Yala,Rice (long grain),60.2525,0.4725
2013,Yala,Rice (red nadu),61.769999999999996,0.4825
2013,Yala,Rice (white),58.745,0.4575
2014,Maha,Rice (white),72.38,0.5525
2014,Yala,Rice (long grain),77.11,0.5925
2014,Yala,Rice (white),69.01,0.5333333333333333
2015,Maha,Rice (long grain),69.54617647058824,0.5072549019607844
2015,Maha,Rice (white),70.4825,0.52
2015,Yala,Rice (long grain),66.04833333333333,0.4947619047619048
2015,Yala,Rice (white),70.24,0.53
2016,Maha,Rice (long grain),72.20582417582418,0.4947252747252748
2016,Maha,Rice (white),71.06800000000001,0.49000000000000005
2016,Yala,Rice (long grain),73.0622619047619,0.5040476190476191
2016,Yala,Rice (white),69.90333333333334,0.48333333333333334
2017,Maha,Rice (long grain),94.57647887323944,0.6195774647887324
2017,Maha,Rice (white),84.648,0.556
2017,Yala,Rice (long grain),87.12955882352942,0.5701470588235295
2017,Yala,Rice (white),82.27250000000001,0.5375000000000001
2018,Maha,Rice (long grain),93.57153846153847,0.6007692307692307
2018,Maha,Rice (white),83.88499999999999,0.54
2018,Yala,Rice (white),80.75,0.505
2019,Maha,Rice (white),91.984,0.508
2019,Yala,Rice (white),85.0625,0.485
2020,Maha,Rice (medium grain),95.386,0.519
2020,Maha,Rice (red nadu),92.789,0.507
2020,Maha,Rice (red),95.19500000000001,0.522
2020,Maha,Rice (white),94.19333333333333,0.5127777777777778
2020,Yala,Rice (medium grain),96.7,0.51875
2020,Yala,Rice (red nadu),93.69888888888889,0.5011111111111111
2020,Yala,Rice (red),90.66555555555556,0.4855555555555556
2020,Yala,Rice (white),93.46538461538461,0.5007692307692307
2021,Maha,Rice (red),95.52000000000001,0.492
2021,Maha,Rice (white),104.26857142857143,0.53
2021,Yala,Rice (red),94.4,0.475
2021,Yala,Rice (white),106.7625,0.535
2022,Maha,Rice (white),165.375,0.7150000000000001
2022,Yala,Rice (white),216.845,0.65
2023,Maha,Rice (medium grain),218.6652380952381,0.671904761904762
2023,Maha,Rice (white),234.99384615384614,0.7214285714285713
2023,Yala,Rice (medium grain),212.4595,0.6783333333333333
2023,Yala,Rice (white),229.03225806451613,0.7319354838709676
2024,Maha,Rice (medium grain),228.22767741935485,0.757225806451613
2024,Maha,Rice (white),248.45805555555555,0.8228472222222222
2024,Yala,Rice (medium grain),219.48017699115042,0.7288495575221239
2024,Yala,Rice (white),256.2712871287129,0.850990099009901
2025,Maha,Rice (medium grain),235.84627118644067,0.7986440677966102
2025,Maha,Rice (white),245.00542372881355,0.828135593220339
2025,Yala,Rice (medium grain),232.74370967741936,0.7779032258064517
2025,Yala,Rice (white),251.47351851851852,0.8409259259259259
