Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio
1952,424,172,402,163,30.7,1583,10500,219,Yala,0.9476744186046512
1953,394,160,366,148,27.9,1439,8700,182,Yala,0.925
1954,483,196,458,185,29.95,1544,11800,247,Yala,0.9438775510204082
1955,522,211,492,199,32.93,1698,14000,293,Yala,0.943127962085308
1956,354,143,328,133,28.23,1456,8100,169,Yala,0.9300699300699301
1957,428,173,411,166,31.76,1638,11080,232,Yala,0.9595375722543352
1958,542,219,523,212,34.87,1798,15400,322,Yala,0.9680365296803652
1959,482,195,469,190,36.33,1873,14500,303,Yala,0.9743589743589743
1960,548,222,536,217,36.82,1898,16700,349,Yala,0.9774774774774775
1961,538,218,519,210,36.46,1880,16000,334,Yala,0.963302752293578
1962,578,234,556,225,37.69,1943,17800,372,Yala,0.9615384615384616
1963,562,228,544,220,38.04,1961,17600,368,Yala,0.9649122807017544
1964,572,232,555,225,38.92,2007,18357,384,Yala,0.9698275862068966
1965,471,191,447,181,34.7,1789,13182,276,Yala,0.9476439790575916
1966,567,230,505,204,35.04,1807,15048,315,Yala,0.8869565217391304
1967,585,237,561,227,42.01,2166,20017,418,Yala,0.9578059071729957
1968,596,241,556,225,44.54,2296,21000,439,Yala,0.9336099585062241
1969,527,213,461,187,48.24,2487,18898,395,Yala,0.8779342723004695
1970,684,277,661,268,49.78,2567,27955,584,Yala,0.9675090252707581
1971,646,262,625,253,47.66,2457,25335,530,Yala,0.9656488549618321
1972,609,247,543,220,44.54,2296,20574,430,Yala,0.8906882591093117
1973,613,248,575,233,42.78,2206,20896,437,Yala,0.9395161290322581
1974,720,291,681,276,41.74,2152,24165,505,Yala,0.9484536082474226
1975,624,253,600,243,40.84,2106,20857,436,Yala,0.9604743083003953
1976,642,260,518,210,40.3,2078,17756,371,Yala,0.8076923076923077
1977,717,290,683,277,43.98,2268,25554,534,Yala,0.9551724137931035
1978,742,300,708,287,46.61,2403,28979,606,Yala,0.9566666666666667
1979,647,261,575,232,49.94,2575,25122,524,Yala,0.8888888888888888
1980,670,271,648,261,55.99,2887,32584,681,Yala,0.9630996309963099
1981,692,280,671,272,56.9,2934,33884,707,Yala,0.9714285714285714
1982,684,277,661,267,64.63,3332,37999,793,Yala,0.9638989169675091
1983,596,241,541,219,69.89,3604,33433,698,Yala,0.9087136929460581
1984,948,384,931,377,61.02,3146,50814,1060,Yala,0.9817708333333334
1985,771,312,757,305,64.83,3343,43625,910,Yala,0.9775641025641025
1986,840,340,762,308,63.76,3287,43139,900,Yala,0.9058823529411765
1987,676,273,608,246,65.2,3362,35246,735,Yala,0.9010989010989011
1988,799,323,783,317,65.37,3370,45627,952,Yala,0.9814241486068112
1989,638,258,617,250,63.6,3279,34573,721,Yala,0.9689922480620154
1990,806,326,763,309,63.35,3266,42706,891,Yala,0.9478527607361963
1991,781,316,761,308,59.12,3048,39986,835,Yala,0.9746835443037974
1992,630,255,601,243,63.09,3253,34029,710,Yala,0.9529411764705882
1993,713,289,696,282,67.52,3481,42089,878,Yala,0.9757785467128027
1994,861,349,830,336,65.82,3394,48576,1013,Yala,0.9627507163323782
1995,861,348,841,340,66.47,3427,50271,1049,Yala,0.9770114942528736
1996,617,250,580,235,67.44,3477,35000,730,Yala,0.94
1997,635,257,610,247,68.39,3526,37496,782,Yala,0.9610894941634242
1998,678,274,657,266,73.84,3807,43678,911,Yala,0.9708029197080292
1999,854,345,823,333,72.78,3752,53746,1121,Yala,0.9652173913043478
2000,812,329,756,306,76.76,3958,51711,1079,Yala,0.9300911854103343
2001,789,319,727,294,79.6,4102,51830,1082,Yala,0.9216300940438872
2002,845,342,793,321,72.57,3742,52027,1086,Yala,0.9385964912280702
2003,941,381,867,351,71.92,3708,56177,1172,Yala,0.9212598425196851
2004,637,258,620,251,82.32,4244,45921,958,Yala,0.9728682170542635
2005,881,357,853,345,77.11,3976,59116,1233,Yala,0.9663865546218487
2006,789,319,776,314,82.68,4263,57814,1206,Yala,0.9843260188087775
2007,720,291,701,284,88.1,4543,55505,1158,Yala,0.9759450171821306
2008,1165,471,1148,465,81.36,4195,83871,1750,Yala,0.9872611464968153
2009,853,345,834,337,81.21,4187,60755,1268,Yala,0.9768115942028985
2010,1036,419,1031,417,86.19,4444,80087,1671,Yala,0.9952267303102625
2011,1218,493,1209,489,84.3,4347,90965,1898,Yala,0.9918864097363083
2012,901,365,754,305,80.39,4145,54107,1129,Yala,0.8356164383561644
2013,1106,448,1104,447,85.5,4408,85042,1774,Yala,0.9977678571428571
2014,773,313,743,301,81.54,4204,54872,1145,Yala,0.9616613418530351
2015,1188,481,1176,476,87.8,4527,93091,1942,Yala,0.9896049896049897
2016,952,385,939,380,85.67,4417,72722,1517,Yala,0.987012987012987
2017,616,249,584,236,83.23,4291,43580,909,Yala,0.9477911646586346
2018,924,374,897,363,90.83,4683,73466,1533,Yala,0.9705882352941176
2019,912,369,855,346,94.96,4896,72822,1519,Yala,0.9376693766937669
2020,1127,456,1114,451,88.28,4552,92218,1924,Yala,0.9890350877192983
2021,1239,501,1228,497,83.57,4309,100079,2088,Yala,0.9920159680638723
2022,1190,482,1187,480,62.21,3207,70050,1462,Yala,0.995850622406639
2023,1248,505,1215,492,74.12,3822,87101,1817,Yala,0.9742574257425742
2024,1189,481,1185,479,74.12,3893,94725,1976,Yala,0.9958419958419958
