"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","","",
"Africa Eastern and Southern","AFE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4492036.296","4484339.751","4487275.404","4483755.103","4476739.69","4477518.213","4477574.11","4479749.666","4484033.063","4494095.846","4507397.467","4509858.571","4512270.866","4514373.566","4520373.438","4519915.168","4523163.481","4533540.569","4530268.078","4531186.985","4546971.084","4551879.139","4559394.066","4564535.666","4587768.36","4598436.527","4603391.922","4611381.997","4624431.509","4620758.637","4634984.149","4648330.47","5041720.686","5058001.003","5069485.422","5077697.671","5094988.18","5113408.634","5139526.039","5162372.37","5169864.14","5177638.49","5201070.22","5224382.87","5236366.7","5252499.04","5271550.72","5285824.969","5318618.959","5345624.754","5377884.092","6795911.466","6811087.881","6825464.833","6836263.123","6852752.434","6865274.71","6883615.216","6890987.203","6896579.938","6904535.522","6909084.619","","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377500","378000","378500","379050","379100","379550","379790","379800","379960","380060","380360","380480","380492","380503","380503","380500","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377630","377570","377950","378680","377640","377940","377950","377900","378840","379280","379170","379100","379140","379160","379160","379170","379150","379140","379100","379100","379100","379100","379100","380100","380100","383130","383130","","","",
"Africa Western and Central","AFW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2976909.88","2980688.82","2984747.45","2988155.86","2992419.19","2994737.72","2995429.68","3006813.15","3009052.88","3002232.04","3004587.21","3006895.69","3008513.37","3004069.91","3011342.73","3018907.34","3020165.27","3025367.21","3034124.35","3045040.18","3044174.14","3051319.34","3059491.53","3068362.015","3078856.02","3089866.464","3091439.489","3104017.144","3105138.429","3136909.923","3151627.758","3176499.135","3201895.002","3232727.275","3277592.489","3298136.58","3313540.677","3317816.065","3340708.711","3351680.844","3368196.701","3381240.161","3398881.176","3395706.72","3459605.915","3462159.301","3481993.029","3495716.093","3510027.554","3528717.102","3540135.055","3568477.774","3595322.436","3611142.66","3637527.371","3645457.738","3661357.867","3691069.62","3704141.803","3719650.073","3742598.066","3747918.846","","",
"Angola","AGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","451770","451850","451820","451900","451870","451950","452020","452100","452270","452050","451820","451600","451370","451150","450930","448700","448480","448250","447930","447650","447280","447050","446780","446500","446280","445450","445230","445010","444780","444560","444830","445110","445100","445100","444900","444470","444500","445130","445670","445230","444150","444380","444990","443100","441830","441370","442450","441950","446300","448500","453160","453030","454880","456740","457890","458240","457720","457920","458770","458920","458970","","","",
"Albania","ALB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12320","12320","12330","12300","12370","12400","12440","12400","12350","12300","12000","11740","11460","11220","10800","10750","11090","11140","11170","11180","11160","11140","11100","11130","11120","11110","11110","11170","11100","11210","11270","11270","11260","11260","11270","11310","11350","11390","11450","11440","11390","11400","11210","11220","10770","11200","11190","11810","12013","12013","12010","12013","11873","11742.9","11743","11817","11742.81","11740.81","11740","11655.55","11363.3","","","",
"Andorra","AND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260","260","260","260","260","260","260","260","260","260","250","250","240","240","240","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","227.5","228.5","228.6","228.1","218","217.8","207.7","207.6","207.7","197.7","197.7","187.6","188.1","188","188.1","188.2","188.2","188.34","188.001","187.773","187.562","","","",
"Arab World","ARB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3128620","3127790","3130110","3130580","3132910","3133010","3139100","3142260","3149000","3156740","3173740","3188190","3186680","3193460","3189580","3198170","3200220","3205840","3207540","3218330","3176576","3179513.4","3185607.4","3241343.6","3288838","3337878","3393070","3444880","3494258","3549792","3556119","3567554.8","3645876.8","3721096.979","3791609.494","3863891.655","3930468.866","4010438.592","4079849.499","4082276.715","4080028.657","4084695.482","4091037.604","4099033.696","4099503.861","4101308.188","4102776.057","4094677.416","4090768.335","4096222.919","4098535.266","5216600.913","5223299.41","5218985.108","5223293.625","5231877.816","5238275.136","5236393.744","5228137.213","5236122.876","5235944.515","5226575.821","","",
"United Arab Emirates","ARE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080","2080","2080","2080","2090","2100","2100","2100","2100","2120","2120","2120","2130","2140","2150","2160","2170","2180","2190","2230","2270","2270","2320","2320","2350","2380","2380","2390","2390","2850","3100","3390","3550","3720","3830","3870","3950","3980","5160","5470","5620","5660","5540","5540","5570","5386","5326","5396","3879","3923","3885","3767","3794","3825","3828","3838","3838","3817.5","3904","3898","3915.615","","","",
"Argentina","ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1378290","1364340","1348750","1332970","1317800","1309480","1297030","1292350","1273820","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273840","1273850","1273840","1273840","1273840","1273840","1273800","1274700","1275650","1276600","1277550","1278500","1279480","1280450","1281420","1282350","1283300","1284120","1285100","1286060","1287100","1291033","1294966","1299209","1301389","1299684","1270469","1243284","1262679","1253184","1247419","1229374","1211889","1207394","1189899","1176404","1159577.597","1165577.597","1177577.597","1179577.597","","","",
"Armenia","ARM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11810","12000","12440","13060","13320","13280","13230","13230","13280","13910","14440","15050","16050","17564","17519","17488","17463","17350","16981","16830","16830","16807","16767","16768","16761","16773","16770","16760","16748.2","","","",
"American Samoa","ASM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.64","19.98","20.32","20.66","21","21.34","21.68","22.02","22.36","22.7","23","23.3","23.6","23.9","24.2","24.5","24.8","25.1","25.4","25.7","26","26.3","26.6","26.9","27.2","27.5","27.8","28.1","28.4","28.7","29","","","",
"Antigua and Barbuda","ATG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","90","90","90","90","90","90","90","90","90","100","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","","","",
"Australia","AUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4744844.445","4765929.315","4793695.782","4819038.096","4862591.91","4870285.257","4895805.639","5135695.611","5108880.189","4934324.985","4995361.667","4998150","4978970","5003570","4995470","5007420","4915100","4961000","4932380","4956380","4955650","4907720","4837890","4865580","4867910","4685410","4710200","4720520","4671040","4644370","4627820","4660040","4600970","4691430","4633880","4652300","4622330","4638810","4536930","4554690","4557000","4470000","4395000","3949060","4102300","4093020","3983555","3892880","3842570","3763720","3961210","3870760","3717750","3744230","3481190","3426020","3718370","3588950","3624770","3557750","3635190","","","",
"Austria","AUT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35554","35310","34898","34765","34642","34060","33737","33593","33511","33358","33209","33071","32222","32073","31895","31835","31776","31808","31429","31410","31554","31427","30259","30332","30375","30268","30280","30483","30506","30239","30369","30130","29990","29941","29811","29733","29646","29599","29552","29402","29161","29022","28852.3","28674","28568","28433","28301","28094","27950","27792","27573","27352","27164","27142","27184.5","26701.7","26546.2","26528.3","26512.1","26026.654","25974.594","","","",
"Azerbaijan","AZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44566","44860","44891","45262","45887","46821","46924","47404","47456","47449","47546","47549","47586","47560","47565","47567","47573","47668","47687","47683","47698","47697","47698","47730","47775","47795","47797","47801","47806","","","",
"Burundi","BDI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15750","15900","16040","16050","16240","16210","16660","16760","18970","18800","18990","19060","20000","20300","20600","20950","21430","21200","21000","20880","20750","20600","20600","20600","20600","20820","20870","20920","20870","20820","20770","20820","20770","20730","20370","19930","19520","19130","18870","18670","18510","18340","18330","18480","18190","18220","18250","18280","18310","18330","18410","18600","18870","19140","19410","19680","19950","20220","20490","20760","21030","","","",
"Belgium","BEL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","18110","18160","17720","17610","17580","17550","17580","17520","17630","17630","17560","17480","17630","18010","17910","17810","17680","17760","16890","14710","14600","15310","15280","15240","15160","15100","15010","14960","14660","14430","14230","14710","14830","14920","14950","15010","15100","15180","15210","13896","13868","13891","13922","13913","13830","13800","13669","13653","13636","13557","13357","13320","13365","13313","13280","13508","13270","13540","13564.226","13646.093","13656.7","","","",
"Benin","BEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","14420","14620","14820","15020","15220","15520","15920","16220","17070","17270","17770","18070","18270","18570","18970","19270","19570","19770","19970","20270","20570","20900","21000","21100","21300","21900","22000","22100","22200","22700","22800","22950","23200","24000","25200","27100","28900","30500","31100","31950","32650","33650","34670","34670","34840","33400","33500","35500","36500","36500","36500","37500","39500","39500","39500","39500","39500","39500","39500","39500","39500","","","",
"Burkina Faso","BFA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","81390","81490","81590","81690","81790","81900","82000","82100","82220","82360","82200","83020","83730","84530","85360","85850","86350","86850","87350","87850","88350","88850","89350","89850","90350","90850","91400","95640","96000","95750","95500","95250","95000","94310","94500","95500","98500","99700","100660","101630","102630","103610","104580","105710","106830","107900","108910","109995","111120","112420","114130","115390","117250","118500","119860","121020","122170","124130","125190","126140","127400","","","",
"Bangladesh","BGD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","94800","94770","94800","95200","96370","96500","96950","96690","96750","96970","96950","99910","99890","99890","100040","99980","99910","99870","99830","99870","99810","99780","99640","100600","100270","100410","101150","104270","104430","103860","103200","95490","94460","93580","93740","93270","93650","94340","94860","94000","94030","93530","93280","93230","93110","92800","92660","92530","92460","92410","91280","91230","92780","93200","94342.4","95172.1","95613.3","96273","98720","99280","100680","","","",
