date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2004-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.66,0.27
2004-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.62,0.34
2004-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.71,0.27
2004-03-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.63,0.27
2004-04-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.98,0.34
2004-04-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.67,0.27
2004-05-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,34.1,0.35
2004-05-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.71,0.27
2004-06-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.74,0.33
2004-06-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.66,0.26
2004-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,34.93,0.34
2004-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,26.63,0.26
2004-08-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,34.78,0.34
2004-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,37.36,0.36
2004-11-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,41.75,0.4
2004-11-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39,0.37
2004-11-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32,0.31
2004-11-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.6,0.38
2004-11-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,113.75,1.09
2004-11-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,86,0.82
2004-11-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32,0.31
2004-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,42.75,0.41
2004-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,38.5,0.37
2004-11-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.5,0.32
2004-11-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,45,0.43
2004-11-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,42.5,0.41
